Unit,FY00_Name,FY00Total,FY00_WhitePct,Fy00_AfrianAmericanPct,FY00_AsianPct,FY00_HispanicPct
6060,Stockton,640,10.5,29.8,11.6,47.7
6070,Stone Acad,592,25.2,25.5,21.8,25.8
6080,"Stowe, H.B.",1543,1.6,7.5,0.1,90.7
6090,Suder,425,0.7,99.1,0,0.2
1570,Sullivan HS,1204,7.9,56.6,6.8,28.1
6100,Sullivan Specialty,700,0.6,53.1,0,46
6110,Sumner,717,0.1,93,0,6.8
6120,Sutherland,681,52.3,44.1,0.6,2.9
6130,Swift,842,24.7,38.8,7.5,29
1580,Taft HS,1624,31.4,29.4,6,32.7
6140,Talcott,804,5.8,5,0,89.2
6970,Tanner,668,0,99.9,0,0.1
6150,Taylor,791,9.4,4.9,0,85.3
3380,Telpochalli,230,0,0,0.4,99.1
6840,Terrell,353,0,100,0,0
1970,Tesla Alternative HS,214,0,100,0,0
6190,"Thorp, 0.A.",776,32.3,33.2,11,22.8
6180,"Thorp, J.N.",707,0,72.6,1.8,25.5
